name,field_media_description,field_media_file,nothing,Keywords,Audience,"Document Type"
"2015 Uniform Codes by IAPMO","This document contains Flood Resistant Provisions of the 2015 editions of codes published by the International Association of Plumbing and Mechanical Officers (IAPMO): the Uniform Mechanical Code; Uniform Plumbing Code, Uniform Swimming Pool, Spa and Hot Tub Code and Uniform Solar Energy Code.","Download File","2015 Uniform Codes by IAPMO
    This document contains Flood Resistant Provisions of the 2015 editions of codes published by the International Association of Plumbing and Mechanical Officers (IAPMO): the Uniform Mechanical Code; Uniform Plumbing Code, Uniform Swimming Pool, Spa and Hot Tub Code and Uniform Solar Energy Code.
    
      
        May 5, 2021

      Download File","Building Science, Flood","Community Planning & Policy",Code
"2016 Fall Flooding in Iowas Recovery Advisories (1-5)","Flooding in Iowa in the fall of 2016 extended beyond mapped Special Flood Hazard Areas (SFHA) and exceeded base flood elevations (BFEs) by several feet in some areas, though the flooding was not as widespread as the Midwest Floods of 2008. Lessons learned from those floods were incorporated into mitigation efforts since that time and successfully guided the repair and reconstruction efforts and design of new buildings to reduce susceptibility to future flood damage.","Download File","2016 Fall Flooding in Iowas Recovery Advisories (1-5)
    Flooding in Iowa in the fall of 2016 extended beyond mapped Special Flood Hazard Areas (SFHA) and exceeded base flood elevations (BFEs) by several feet in some areas, though the flooding was not as widespread as the Midwest Floods of 2008. Lessons learned from those floods were incorporated into mitigation efforts since that time and successfully guided the repair and reconstruction efforts and design of new buildings to reduce susceptibility to future flood damage.
    
      
        Nov 9, 2021

      Download File","Building Science, Mitigation Assessment Team, Flood","Building Professionals & Engineers","MAT Product"
"2024 Building Code Adoption Tracking Overview",,"Download File","2024 Building Code Adoption Tracking Overview
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 1",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 1
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 10",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 10
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 2",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 2
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 3",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 3
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 4",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 4
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 5",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 5
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 6",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 6
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 7",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 7
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 8",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 8
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Building Code Adoption Tracking: FEMA Region 9",,"Download File","2024 Building Code Adoption Tracking: FEMA Region 9
    
    
      
        Feb 27, 2024

      Download File","Building Science",,"Fact Sheet"
"2024 Mutual Aid for Building Departments Overview",,"Download File","2024 Mutual Aid for Building Departments Overview
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 1",,"Download File","2024 Mutual Aid for Building Departments Region 1
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 10",,"Download File","2024 Mutual Aid for Building Departments Region 10
    
    
      
        Jul 29, 2024

      Download File","Building Science","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 2",,"Download File","2024 Mutual Aid for Building Departments Region 2
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 3",,"Download File","2024 Mutual Aid for Building Departments Region 3
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 4",,"Download File","2024 Mutual Aid for Building Departments Region 4
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 5",,"Download File","2024 Mutual Aid for Building Departments Region 5
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 6",,"Download File","2024 Mutual Aid for Building Departments Region 6
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 7",,"Download File","2024 Mutual Aid for Building Departments Region 7
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 8",,"Download File","2024 Mutual Aid for Building Departments Region 8
    
    
      
        Jul 29, 2024

      Download File","Building Science","Community Planning & Policy","Fact Sheet"
"2024 Mutual Aid for Building Departments Region 9",,"Download File","2024 Mutual Aid for Building Departments Region 9
    
    
      
        Jul 29, 2024

      Download File","Building Science, Multi-Hazard","Community Planning & Policy","Fact Sheet"
"Announcing Version 3.0 of the Substantial Damage Estimator (SDE) Tool Flyer","The Substantial Damage Estimator (SDE) Tool was: Developed to assist State and local officials in determining substantial damage in accordance with a local floodplain management ordinance meeting the requirements of the National Flood Insurance Program (NFIP), Can be used to assess flood, wind, wildfire, seismic, and other forms of damage, Helps communities to provide timely substantial damage determinations so that reconstruction can begin following a disaster.","Download File","Announcing Version 3.0 of the Substantial Damage Estimator (SDE) Tool Flyer
    The Substantial Damage Estimator (SDE) Tool was: Developed to assist State and local officials in determining substantial damage in accordance with a local floodplain management ordinance meeting the requirements of the National Flood Insurance Program (NFIP), Can be used to assess flood, wind, wildfire, seismic, and other forms of damage, Helps communities to provide timely substantial damage determinations so that reconstruction can begin following a disaster.
    
      
        Apr 20, 2021

      Download File","Building Science, Multi-Hazard, Substantial Damage Estimator, Flood, Wildfire","Community Planning & Policy",Flyer
"Applying for Building Code Administration and Enforcement Reimbursement through FEMA’s Public Assistance Program (DRRA 1206 Flyer)","Flyer outlining eligible building code activities that occur up to 180 days after a major disaster declaration can be reimbursed through Public Assistance.","Download File","Applying for Building Code Administration and Enforcement Reimbursement through FEMA’s Public Assistance Program (DRRA 1206 Flyer)
    Flyer outlining eligible building code activities that occur up to 180 days after a major disaster declaration can be reimbursed through Public Assistance.
    
      
        Jul 1, 2022

      Download File","Building Science, High Winds, Multi-Hazard, Other Hazards, Earthquake, Flood, Hurricane","Building Professionals & Engineers, Community Planning & Policy",Flyer
"ARCHIVED: FEMA P-804,  Protect Your Property from High Winds: Wind Retrofit Guide for Residential Buildings","ARCHIVED: This edition is still available due to a grace period and will be removed once the 2024 International Codes have been released.","Download File","ARCHIVED: FEMA P-804,  Protect Your Property from High Winds: Wind Retrofit Guide for Residential Buildings
    ARCHIVED: This edition is still available due to a grace period and will be removed once the 2024 International Codes have been released. 
    
      
        May 15, 2023

      Download File","Building Science, High Winds","Community Planning & Policy, Individuals & Homeowners",Publication
"Basic Project Planning Template","This document equips property owners with a template that they can use to understand the basic planning elements of a construction project. It includes items that local building departments and design professionals usually require.","Download File","Basic Project Planning Template 
    This document equips property owners with a template that they can use to understand the basic planning elements of a construction project. It includes items that local building departments and design professionals usually require.
    
      
        May 23, 2023

      Download File","Building Science, Earthquake, Flood, High Winds, Hurricane, Multi-Hazard, Other Hazards","Individuals & Homeowners",
"Best Available Refuge Area Checklist","The Best Available Refuge Area (BARA) Checklist may also be downloaded from the link on this page.","Download File","Best Available Refuge Area Checklist
    The Best Available Refuge Area (BARA) Checklist may also be downloaded from the link on this page. 
    
      
        Apr 15, 2021

      Download File","Building Science, High Winds, Safe Room, Tornado","Individuals & Homeowners","Fact Sheet"
"Best Practices for Incorporating Building Science Guidance into Community Risk MAP Implementation","This report presents the best practices for incorporating Building Science flood mitigation information into the Risk MAP program and strategies for informing interested parties of the Building Science resources.","Download File","Best Practices for Incorporating Building Science Guidance into Community Risk MAP Implementation
    This report presents the best practices for incorporating Building Science flood mitigation information into the Risk MAP program and strategies for informing interested parties of the Building Science resources.
    
      
        Aug 30, 2022

      Download File","Building Science, Flood","Building Professionals & Engineers",Publication
"Building Code Communication Pocket Guide (FEMA P-2420)","This Pocket Guide offers key messages to encourage the adoption, administration, implementation, and enforcement of up-to-date building codes, reducing disaster risks and protecting communities. It addresses common misunderstandings and provides effective communication strategies for conveying the value of building codes.","Download File","Building Code Communication Pocket Guide (FEMA P-2420)
    This Pocket Guide offers key messages to encourage the adoption, administration, implementation, and enforcement of up-to-date building codes, reducing disaster risks and protecting communities. It addresses common misunderstandings and provides effective communication strategies for conveying the value of building codes.
    
      
        Mar 26, 2025

      Download File","Building Codes, Building Science","Community Officials, Community Planning & Policy",Publication
"Building Code Requirements That Exceed or Are More Specific Than the National Flood Insurance Program","This fact sheet summarizes the flood-resistant provisions of the 2021 International Codes (I-Codes) and American Society of Civil Engineers (ASCE) 24-14, Flood Resistant Design and Construction, that are “higher standards” and that are more specific than the National Flood Insurance Program (NFIP) requirements.","Download File","Building Code Requirements That Exceed or Are More Specific Than the National Flood Insurance Program
    This fact sheet summarizes the flood-resistant provisions of the 2021 International Codes (I-Codes) and American Society of Civil Engineers (ASCE) 24-14, Flood Resistant Design and Construction, that are “higher standards” and that are more specific than the National Flood Insurance Program (NFIP) requirements.
    
      
        Sep 7, 2021

      Download File","Building Codes, Building Science, National Flood Insurance Program: Publications","Building Professionals & Engineers","Fact Sheet"
"Building Code Winter Activity Sheet",,"Download File","Building Code Winter Activity Sheet
    
    
      
        Mar 18, 2024

      Download File","Building Science",,
"Building Codes Activity Book","FEMA has created this activity book to help you learn more about how building codes help protect our communities against natural hazards. By using natural hazard-resistant building codes, communities are better prepared for events such as earthquakes, storms, floods, or fires. This book includes several pages of activities and learning for you to complete. We hope you enjoy this activity book!","Download File","Building Codes Activity Book
    FEMA has created this activity book to help you learn more about how building codes help protect our communities against natural hazards. By using natural hazard-resistant building codes, communities are better prepared for events such as earthquakes, storms, floods, or fires. This book includes several pages of activities and learning for you to complete. We hope you enjoy this activity book! 
    
      
        Apr 17, 2024

      Download File","Building Science","Individuals & Homeowners","Coloring Book"
"Building Codes Basics","Building codes and standards are crucial to protecting homes in the event of a natural hazard. There have been numerous examples of homes or communities that were designed and built to the latest building codes that have not only survived a significant natural disaster but were able to continue their intended function, helping their community quickly recover and remain resilient. Some of these examples are detailed here.","Download File","Building Codes Basics 
    Building codes and standards are crucial to protecting homes in the event of a natural hazard. There have been numerous examples of homes or communities that were designed and built to the latest building codes that have not only survived a significant natural disaster but were able to continue their intended function, helping their community quickly recover and remain resilient. Some of these examples are detailed here.
    
      
        May 23, 2023

      Download File","Building Science, Earthquake, Flood, High Winds, Hurricane, Multi-Hazard, Other Hazards","Individuals & Homeowners",
"Building Codes Help Move The Resiliency Gauge",,"Download File","Building Codes Help Move The Resiliency Gauge
    
    
      
        Dec 3, 2021

      Download File","Building Science, Multi-Hazard","Community Planning & Policy, Individuals & Homeowners",Infographic
"Building Codes Save: A Nationwide Study - Appendices","Appendices to the study.","Download File","Building Codes Save: A Nationwide Study - Appendices
    Appendices to the study.
    
      
        Mar 3, 2021

      Download File","Building Science, Hazard Mitigation","Community Planning & Policy",Report
"Building Codes Save: Factsheet","A three-page factsheet about the Building Codes Save model and data.","Download File","Building Codes Save: Factsheet
    A three-page factsheet about the Building Codes Save model and data. 
    
      
        Mar 3, 2021

      Download File","Building Science, Flood, Hurricane","Community Planning & Policy","Fact Sheet"
"Building Codes Save: Fire Hazards Pilot Study","The Building Codes Save – Fire Hazards Pilot Study built upon the “Building Codes Save: A Nationwide Study of Loss Prevention” by evaluating financial and life safety savings due to modern building codes. Specifically, the Pilot Study expands the hazards analyzed to include structure fire and wildfire.","Download File","Building Codes Save: Fire Hazards Pilot Study
    The Building Codes Save – Fire Hazards Pilot Study built upon the “Building Codes Save: A Nationwide Study of Loss Prevention” by evaluating financial and life safety savings due to modern building codes. Specifically, the Pilot Study expands the hazards analyzed to include structure fire and wildfire.
    
      
        Dec 31, 2024

      Download File","Building Codes, Building Science, Fire, Other Hazards, Wildfire","Building Owners, Building Professionals & Engineers, Community Planning & Policy, Individuals & Homeowners, State Program Managers, Teachers & Kids","Fact Sheet"
"Building Codes Save: Infographics","View four infographics that highlight findings from the study.","Download File","Building Codes Save: Infographics
    View four infographics that highlight findings from the study.
    
      
        Mar 3, 2021

      Download File","Building Science, Resilience","Community Planning & Policy",Infographic
"Building Codes Save: Nationwide Losses Prevention Infographic","Outlines the background and process of the study.","Download File","Building Codes Save: Nationwide Losses Prevention Infographic
    Outlines the background and process of the study.
    
      
        Mar 3, 2021

      Download File","Building Science, Earthquake, Flood, Hurricane","Community Planning & Policy",Infographic
"Building Codes Save: Study Results","This Excel sheet contains data from FEMA’s landmark study, “Building Codes Save: A Nationwide Study.""","Download File","Building Codes Save: Study Results
    This Excel sheet contains data from FEMA’s landmark study, “Building Codes Save: A Nationwide Study.""
    
      
        Mar 3, 2021

      Download File","Building Science","Community Planning & Policy",Report
"Building Codes Support A Resilient Community",,"Download File","Building Codes Support A Resilient Community
    
    
      
        Dec 3, 2021

      Download File","Building Science, Multi-Hazard","Community Planning & Policy, Individuals & Homeowners",Infographic
"Building Codes Toolkit for Homeowners and Occupants","The FEMA Building Codes Toolkit offers basic guidance and tools to help homeowners and occupants learn about building codes and how they can make a home more resilient against natural hazards.","Download File","Building Codes Toolkit for Homeowners and Occupants 
    The FEMA Building Codes Toolkit offers basic guidance and tools to help homeowners and occupants learn about building codes and how they can make a home more resilient against natural hazards.
    
      
        May 23, 2023

      Download File","Building Science, Earthquake, Flood, Hurricane, Multi-Hazard, Other Hazards","Individuals & Homeowners",
"Building Performance Assessment Team Report: Hurricane Georges in Puerto Rico (FEMA 339)","This report presents FEMA's Building Performance Assessment Team's (BPAT) observations on the success and failure of buildings in Puerto Rico in withstanding the wind and flood forces generated by Hurricane Georges.","Download File","Building Performance Assessment Team Report: Hurricane Georges in Puerto Rico (FEMA 339)
    This report presents FEMA's Building Performance Assessment Team's (BPAT) observations on the success and failure of buildings in Puerto Rico in withstanding the wind and flood forces generated by Hurricane Georges.
    
      
        Jan 26, 2024

      Download File","Hurricane Georges in Puerto Rico, Building Science, Mitigation Assessment Team","Building Professionals & Engineers","MAT Product"
"Building Science Branch - Flood & Wind Mitigation Accomplishments in Fiscal Year 2010 & the First Quarter of Fiscal Year 2011","The Building Science Branch develops mitigation guidance that focuses on creating disaster-resilient communities. Our research-based guidance promotes best practices designed to create safer communities and reduce the loss of life and property. The Building Science Branch of the FEMA Federal Insurance and Mitigation Administration (FIMA) Risk Reduction Division works with industry groups, consulting experts, and State and local communities to provide state-ofthe- art technical hazard mitigation solutions for buildings. This annual report provides highlights of accomplishments related specifically to flood and wind mitigation, including publications, conference participation, and training and outreach efforts. These accomplishments demonstrate how FEMA and its partners are reducing disaster loss throughout the country. The accomplishments detailed in this report include those completed in fiscal year (FY) 2010 and the first quarter (Q1) of FY 2011.","Download File","Building Science Branch - Flood & Wind Mitigation Accomplishments in Fiscal Year 2010 & the First Quarter of Fiscal Year 2011
    The Building Science Branch develops mitigation guidance that focuses on creating disaster-resilient communities. Our research-based guidance promotes best practices designed to create safer communities and reduce the loss of life and property. The Building Science Branch of the FEMA Federal Insurance and Mitigation Administration (FIMA) Risk Reduction Division works with industry groups, consulting experts, and State and local communities to provide state-ofthe- art technical hazard mitigation solutions for buildings. This annual report provides highlights of accomplishments related specifically to flood and wind mitigation, including publications, conference participation, and training and outreach efforts. These accomplishments demonstrate how FEMA and its partners are reducing disaster loss throughout the country. The accomplishments detailed in this report include those completed in fiscal year (FY) 2010 and the first quarter (Q1) of FY 2011.
    
      
        May 6, 2021

      Download File","Building Science, Flood","Community Planning & Policy",Report
